timestamp,username,ip_address,status,source_port,country,hostname,auth_method,log_type
2026-03-15 09:00:05,maria,10.0.0.21,SUCCESS,51522,RO,srv-auth-01,password,ssh
2026-03-15 09:01:10,andrei,10.0.0.22,SUCCESS,51523,RO,srv-auth-01,password,ssh
2026-03-15 09:02:15,alex,10.0.0.23,FAILED,51524,RO,srv-auth-01,password,ssh
2026-03-15 09:02:40,alex,10.0.0.23,SUCCESS,51525,RO,srv-auth-01,password,ssh
2026-03-15 09:03:05,bianca,10.0.0.24,SUCCESS,51526,RO,srv-auth-01,password,ssh
2026-03-15 09:04:10,denis,10.0.0.25,SUCCESS,51527,RO,srv-auth-02,password,ssh
2026-03-15 09:05:20,elena,10.0.0.26,FAILED,51528,RO,srv-auth-02,password,ssh
2026-03-15 09:05:45,elena,10.0.0.26,SUCCESS,51529,RO,srv-auth-02,password,ssh
2026-03-15 09:06:10,george,10.0.0.27,SUCCESS,51530,RO,srv-auth-02,password,ssh
2026-03-15 09:07:35,ioana,10.0.0.28,SUCCESS,51531,RO,srv-auth-01,password,ssh
2026-03-15 09:08:10,radu,10.0.0.29,SUCCESS,51532,RO,srv-auth-01,password,ssh
2026-03-15 09:08:55,sorin,10.0.0.30,FAILED,51533,RO,srv-auth-01,password,ssh
2026-03-15 09:09:15,sorin,10.0.0.30,SUCCESS,51534,RO,srv-auth-01,password,ssh
2026-03-15 09:10:00,maria,203.0.113.50,FAILED,60101,CN,srv-auth-01,password,ssh
2026-03-15 09:10:20,andrei,203.0.113.50,FAILED,60102,CN,srv-auth-01,password,ssh
2026-03-15 09:10:40,admin,203.0.113.50,FAILED,60103,CN,srv-auth-01,password,ssh
2026-03-15 09:11:00,root,203.0.113.50,FAILED,60104,CN,srv-auth-01,password,ssh
2026-03-15 09:11:20,bianca,203.0.113.50,FAILED,60105,CN,srv-auth-01,password,ssh
2026-03-15 09:11:40,alex,203.0.113.50,FAILED,60106,CN,srv-auth-01,password,ssh
2026-03-15 09:12:00,guest,203.0.113.50,FAILED,60107,CN,srv-auth-01,password,ssh
2026-03-15 09:12:20,service,203.0.113.50,FAILED,60108,CN,srv-auth-01,password,ssh
2026-03-15 09:12:45,maria,10.0.0.31,SUCCESS,51535,RO,srv-auth-01,password,ssh
2026-03-15 09:13:10,andrei,10.0.0.32,SUCCESS,51536,RO,srv-auth-01,password,ssh
2026-03-15 09:14:00,diana,10.0.0.33,SUCCESS,51537,RO,srv-auth-02,password,ssh
2026-03-15 09:15:20,florin,10.0.0.34,FAILED,51538,RO,srv-auth-02,password,ssh
2026-03-15 09:15:40,florin,10.0.0.34,SUCCESS,51539,RO,srv-auth-02,password,ssh
2026-03-15 09:16:00,maria,198.51.100.23,FAILED,60201,US,srv-auth-02,password,ssh
2026-03-15 09:16:20,maria,198.51.100.23,FAILED,60202,US,srv-auth-02,password,ssh
2026-03-15 09:16:40,maria,198.51.100.23,FAILED,60203,US,srv-auth-02,password,ssh
2026-03-15 09:17:00,maria,198.51.100.23,FAILED,60204,US,srv-auth-02,password,ssh
2026-03-15 09:17:20,maria,198.51.100.23,FAILED,60205,US,srv-auth-02,password,ssh
2026-03-15 09:17:40,maria,198.51.100.23,FAILED,60206,US,srv-auth-02,password,ssh
2026-03-15 09:18:00,maria,198.51.100.23,FAILED,60207,US,srv-auth-02,password,ssh
2026-03-15 09:18:25,cosmin,10.0.0.35,SUCCESS,51540,RO,srv-auth-02,password,ssh
2026-03-15 09:19:10,root,198.51.100.77,FAILED,60301,RU,srv-auth-01,password,ssh
2026-03-15 09:19:30,root,198.51.100.77,FAILED,60302,RU,srv-auth-01,password,ssh
2026-03-15 09:19:50,root,198.51.100.77,FAILED,60303,RU,srv-auth-01,password,ssh
2026-03-15 09:20:10,root,198.51.100.77,FAILED,60304,RU,srv-auth-01,password,ssh
2026-03-15 09:20:30,root,198.51.100.77,FAILED,60305,RU,srv-auth-01,password,ssh
2026-03-15 09:21:00,admin,10.0.0.36,SUCCESS,51541,RO,srv-auth-01,password,ssh
2026-03-15 09:21:40,teo,10.0.0.37,SUCCESS,51542,RO,srv-auth-02,password,ssh
2026-03-15 09:22:00,ana,10.0.0.38,SUCCESS,51543,RO,srv-auth-01,password,ssh
2026-03-15 09:22:25,dragos,10.0.0.39,FAILED,51544,RO,srv-auth-01,password,ssh
2026-03-15 09:22:45,dragos,10.0.0.39,SUCCESS,51545,RO,srv-auth-01,password,ssh
2026-03-15 09:23:10,vlad,10.0.0.40,SUCCESS,51546,RO,srv-auth-02,password,ssh
2026-03-15 09:24:00,monitor,203.0.113.88,FAILED,60401,DE,srv-auth-03,password,ssh
2026-03-15 09:24:20,monitor,203.0.113.88,FAILED,60402,DE,srv-auth-03,password,ssh
2026-03-15 09:24:40,monitor,203.0.113.88,SUCCESS,60403,DE,srv-auth-03,password,ssh
2026-03-15 09:25:10,paul,10.0.0.41,SUCCESS,51547,RO,srv-auth-03,password,ssh
2026-03-15 09:26:00,service,203.0.113.120,FAILED,60501,NL,srv-auth-03,password,ssh
2026-03-15 09:26:20,service,203.0.113.120,FAILED,60502,NL,srv-auth-03,password,ssh
2026-03-15 09:26:40,service,203.0.113.120,FAILED,60503,NL,srv-auth-03,password,ssh
2026-03-15 09:27:00,service,203.0.113.120,FAILED,60504,NL,srv-auth-03,password,ssh
2026-03-15 09:27:20,service,203.0.113.120,SUCCESS,60505,NL,srv-auth-03,password,ssh
2026-03-15 09:28:00,andreea,10.0.0.42,SUCCESS,51548,RO,srv-auth-03,password,ssh
